id	title	description	link	image_link	availability	price	brand	condition	identifier_exists	google_product_category
HB-DOG-30	Happy Beanie Anti-Aging Supplement Soft Chews — Hip & Joint, Mobility, Immune Support for Adult Dogs, 30 Count	Happy Beanie is an anti-aging supplement for dogs. One chew a day, dosed by weight, to support healthy aging in the joints, immune system, heart and cellular energy that carry a dog through its years. The dog formula has its own ten active ingredients, chosen for a dog's biology, every one of them at a clinically studied dose. Human-grade, made in the USA, third-party tested lot by lot. 30 chews per box.	https://www.happybeanie.com/product?sp=dog	https://www.happybeanie.com/assets/img/pdp-dog.webp	in_stock	115.00 USD	Happy Beanie	new	no	5081
HB-CAT-30	Happy Beanie Anti-Aging Supplement Soft Chews — Hip & Joint, Digestive, Urinary Support for Adult Cats, 30 Count	Happy Beanie is an anti-aging supplement for cats. One chew a day, to support healthy aging in the joints, heart, urinary tract and cellular energy that carry a cat through its years. The cat formula has its own nine active ingredients, chosen for a cat's biology, every one of them at a clinically studied dose. Human-grade, made in the USA, third-party tested lot by lot. 30 chews per box.	https://www.happybeanie.com/product?sp=cat	https://www.happybeanie.com/assets/img/pdp-cat.webp	in_stock	115.00 USD	Happy Beanie	new	no	5081
